level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
2	1	31	0	0	0	579	244	46	19	-1	
3	1	31	1	0	0	579	244	46	19	-1	
4	1	31	1	1	0	579	244	46	19	-1	
5	1	31	1	1	1	579	244	46	19	59.268288	à
2	1	32	0	0	0	563	147	56	75	-1	
3	1	32	1	0	0	563	147	56	75	-1	
4	1	32	1	1	0	563	147	56	75	-1	
5	1	32	1	1	1	563	147	56	75	64.848190	oF
2	1	33	0	0	0	658	499	59	19	-1	
3	1	33	1	0	0	658	499	59	19	-1	
4	1	33	1	1	0	658	499	59	19	-1	
5	1	33	1	1	1	658	499	59	19	32.459595	x
2	1	34	0	0	0	714	33	12	15	-1	
3	1	34	1	0	0	714	33	12	15	-1	
4	1	34	1	1	0	714	33	12	15	-1	
5	1	34	1	1	1	714	33	12	15	50.463200	|_|
2	1	35	0	0	0	731	86	4	25	-1	
3	1	35	1	0	0	731	86	4	25	-1	
4	1	35	1	1	0	731	86	4	25	-1	
5	1	35	1	1	1	731	86	4	25	91.903885	BE
2	1	36	0	0	0	736	62	12	15	-1	
3	1	36	1	0	0	736	62	12	15	-1	
4	1	36	1	1	0	736	62	12	15	-1	
5	1	36	1	1	1	736	62	12	15	0.000000	mi!
2	1	37	0	0	0	696	1178	59	15	-1	
3	1	37	1	0	0	696	1178	59	15	-1	
4	1	37	1	1	0	696	1178	59	15	-1	
5	1	37	1	1	1	696	1178	59	15	51.294548	i
2	1	38	0	0	0	746	80	5	29	-1	
3	1	38	1	0	0	746	80	5	29	-1	
4	1	38	1	1	0	746	80	5	29	-1	
5	1	38	1	1	1	746	80	5	29	41.816669	EL
2	1	39	0	0	0	804	52	45	42	-1	
3	1	39	1	0	0	804	52	45	42	-1	
4	1	39	1	1	0	804	52	45	42	-1	
5	1	39	1	1	1	804	52	45	42	41.025623	A
2	1	40	0	0	0	792	1057	62	19	-1	
3	1	40	1	0	0	792	1057	62	19	-1	
4	1	40	1	1	0	792	1057	62	19	-1	
5	1	40	1	1	1	792	1057	62	19	38.689896	OLS
2	1	41	0	0	0	851	63	32	42	-1	
3	1	41	1	0	0	851	63	32	42	-1	
4	1	41	1	1	0	851	63	32	42	-1	
5	1	41	1	1	1	851	63	32	42	28.629700	ans
2	1	42	0	0	0	864	839	26	163	-1	
3	1	42	1	0	0	864	839	26	163	-1	
4	1	42	1	1	0	864	839	26	163	-1	
5	1	42	1	1	1	864	866	26	136	95.749260	Chambre
5	1	42	1	1	2	864	839	25	16	95.749260	2
2	1	43	0	0	0	864	369	26	164	-1	
3	1	43	1	0	0	864	369	26	164	-1	
4	1	43	1	1	0	864	369	26	164	-1	
5	1	43	1	1	1	864	397	26	136	96.593987	Chambre
5	1	43	1	1	2	864	369	26	17	95.723129	3
2	1	44	0	0	0	898	853	29	133	-1	
3	1	44	1	0	0	898	853	29	133	-1	
4	1	44	1	1	0	898	853	29	133	-1	
5	1	44	1	1	1	901	903	26	83	96.840454	20.92
5	1	44	1	1	2	898	853	28	38	82.124382	m2
2	1	45	0	0	0	898	401	29	130	-1	
3	1	45	1	0	0	898	401	29	130	-1	
4	1	45	1	1	0	898	401	29	130	-1	
5	1	45	1	1	1	901	452	26	79	96.865257	18.38
5	1	45	1	1	2	898	401	28	38	78.523674	m2
2	1	46	0	0	0	865	244	63	19	-1	
3	1	46	1	0	0	865	244	63	19	-1	
4	1	46	1	1	0	865	244	63	19	-1	
5	1	46	1	1	1	865	244	63	19	66.585831	432
2	1	47	0	0	0	937	57	4	23	-1	
3	1	47	1	0	0	937	57	4	23	-1	
4	1	47	1	1	0	937	57	4	23	-1	
5	1	47	1	1	1	937	57	4	23	59.980080	BE
2	1	48	0	0	0	948	23	4	23	-1	
3	1	48	1	0	0	948	23	4	23	-1	
4	1	48	1	1	0	948	23	4	23	-1	
5	1	48	1	1	1	948	23	4	23	45.415382	EU
2	1	49	0	0	0	920	1163	38	19	-1	
3	1	49	1	0	0	920	1163	38	19	-1	
4	1	49	1	1	0	920	1163	38	19	-1	
5	1	49	1	1	1	920	1163	38	19	0.000000	u
2	1	50	0	0	0	954	1164	12	16	-1	
3	1	50	1	0	0	954	1164	12	16	-1	
4	1	50	1	1	0	954	1164	12	16	-1	
5	1	50	1	1	1	954	1164	12	16	61.499325	\
2	1	51	0	0	0	967	1162	12	16	-1	
3	1	51	1	0	0	967	1162	12	16	-1	
4	1	51	1	1	0	967	1162	12	16	-1	
5	1	51	1	1	1	967	1162	12	16	0.000000	\_}
2	1	52	0	0	0	987	880	19	62	-1	
3	1	52	1	0	0	987	880	19	62	-1	
4	1	52	1	1	0	987	880	19	62	-1	
5	1	52	1	1	1	987	880	19	62	96.900322	405.5
2	1	53	0	0	0	987	344	19	41	-1	
3	1	53	1	0	0	987	344	19	41	-1	
4	1	53	1	1	0	987	344	19	41	-1	
5	1	53	1	1	1	987	344	19	41	96.793968	439
2	1	54	0	0	0	1049	50	5	29	-1	
3	1	54	1	0	0	1049	50	5	29	-1	
4	1	54	1	1	0	1049	50	5	29	-1	
5	1	54	1	1	1	1049	50	5	29	36.643242	ae
2	1	55	0	0	0	1110	1210	20	27	-1	
3	1	55	1	0	0	1110	1210	20	27	-1	
4	1	55	1	1	0	1110	1210	20	27	-1	
5	1	55	1	1	1	1110	1210	20	27	96.966988	40
2	1	56	0	0	0	1113	993	19	62	-1	
3	1	56	1	0	0	1113	993	19	62	-1	
4	1	56	1	1	0	1113	993	19	62	-1	
5	1	56	1	1	1	1113	993	19	62	74.512909	199.7
2	1	57	0	0	0	1119	602	19	12	-1	
3	1	57	1	0	0	1119	602	19	12	-1	
4	1	57	1	1	0	1119	602	19	12	-1	
5	1	57	1	1	1	1119	602	19	12	96.878914	3
2	1	58	0	0	0	1119	553	19	12	-1	
3	1	58	1	0	0	1119	553	19	12	-1	
4	1	58	1	1	0	1119	553	19	12	-1	
5	1	58	1	1	1	1119	553	19	12	95.967316	9
2	1	59	0	0	0	1122	303	19	26	-1	
3	1	59	1	0	0	1122	303	19	26	-1	
4	1	59	1	1	0	1122	303	19	26	-1	
5	1	59	1	1	1	1122	303	19	26	96.754112	98
2	1	60	0	0	0	1103	1057	46	19	-1	
3	1	60	1	0	0	1103	1057	46	19	-1	
4	1	60	1	1	0	1103	1057	46	19	-1	
5	1	60	1	1	1	1103	1057	46	19	44.129520	a
2	1	61	0	0	0	1124	149	19	59	-1	
3	1	61	1	0	0	1124	149	19	59	-1	
4	1	61	1	1	0	1124	149	19	59	-1	
5	1	61	1	1	1	1124	149	19	59	96.672470	123.9
2	1	62	0	0	0	1111	777	71	108	-1	
3	1	62	1	0	0	1095	771	87	114	-1	
4	1	62	1	1	0	1111	777	71	108	-1	
5	1	62	1	1	1	1111	806	71	79	40.392937	RCE
5	1	62	1	1	2	1115	777	63	60	46.606464	+
2	1	63	0	0	0	1148	296	19	38	-1	
3	1	63	1	0	0	1148	296	19	38	-1	
4	1	63	1	1	0	1148	296	19	38	-1	
5	1	63	1	1	1	1148	296	19	38	96.532578	108
2	1	64	0	0	0	1195	1112	4	24	-1	
3	1	64	1	0	0	1195	1112	4	24	-1	
4	1	64	1	1	0	1195	1112	4	24	-1	
5	1	64	1	1	1	1195	1112	4	24	50.682068	1
2	1	65	0	0	0	1196	933	12	45	-1	
3	1	65	1	0	0	1196	933	12	45	-1	
4	1	65	1	1	0	1196	933	12	45	-1	
5	1	65	1	1	1	1196	933	12	45	53.135818	sun
2	1	66	0	0	0	1181	75	12	16	-1	
3	1	66	1	0	0	1181	75	12	16	-1	
4	1	66	1	1	0	1181	75	12	16	-1	
5	1	66	1	1	1	1181	75	12	16	65.458229	mt
2	1	67	0	0	0	1173	15	32	60	-1	
3	1	67	1	0	0	1173	15	32	60	-1	
4	1	67	1	1	0	1173	15	32	60	-1	
5	1	67	1	1	1	1173	57	32	18	54.427177	Et
5	1	67	1	1	2	1173	15	21	26	53.955616	ae
2	1	68	0	0	0	1218	1157	6	15	-1	
3	1	68	1	0	0	1218	1157	6	15	-1	
4	1	68	1	1	0	1218	1157	6	15	-1	
5	1	68	1	1	1	1218	1157	6	15	40.188065	a
2	1	69	0	0	0	1214	1025	12	2	-1	
3	1	69	1	0	0	1214	1025	12	2	-1	
4	1	69	1	1	0	1214	1025	12	2	-1	
5	1	69	1	1	1	1214	1025	12	2	68.366348	il
2	1	70	0	0	0	1208	560	3	13	-1	
3	1	70	1	0	0	1208	560	3	13	-1	
4	1	70	1	1	0	1208	560	3	13	-1	
5	1	70	1	1	1	1208	560	3	13	89.197235	—
2	1	71	0	0	0	1219	526	4	25	-1	
3	1	71	1	0	0	1219	526	4	25	-1	
4	1	71	1	1	0	1219	526	4	25	-1	
5	1	71	1	1	1	1219	526	4	25	29.459457	sa
2	1	72	0	0	0	1214	387	4	23	-1	
3	1	72	1	0	0	1214	387	4	23	-1	
4	1	72	1	1	0	1214	387	4	23	-1	
5	1	72	1	1	1	1214	387	4	23	84.725098	=
2	1	73	0	0	0	1206	26	12	42	-1	
3	1	73	1	0	0	1206	26	12	42	-1	
4	1	73	1	1	0	1206	26	12	42	-1	
5	1	73	1	1	1	1206	26	12	42	38.180546	HH
2	1	74	0	0	0	1228	1010	4	24	-1	
3	1	74	1	0	0	1228	1010	4	24	-1	
4	1	74	1	1	0	1228	1010	4	24	-1	
5	1	74	1	1	1	1228	1010	4	24	41.975742	||
2	1	75	0	0	0	1222	944	19	17	-1	
3	1	75	1	0	0	1222	944	19	17	-1	
4	1	75	1	1	0	1222	944	19	17	-1	
5	1	75	1	1	1	1222	944	19	17	29.978470	fal
2	1	76	0	0	0	1192	658	51	128	-1	
3	1	76	1	0	0	1192	658	51	128	-1	
4	1	76	1	1	0	1192	658	51	128	-1	
5	1	76	1	1	1	1192	658	51	128	34.630669	HS
2	1	77	0	0	0	1226	573	14	31	-1	
3	1	77	1	0	0	1226	573	14	31	-1	
4	1	77	1	1	0	1226	573	14	31	-1	
5	1	77	1	1	1	1215	573	25	47	52.027252	eee
2	1	78	0	0	0	1241	564	1	4	-1	
3	1	78	1	0	0	1241	564	1	4	-1	
4	1	78	1	1	0	1241	564	1	4	-1	
5	1	78	1	1	1	1241	564	1	4	59.316067	L
2	1	79	0	0	0	1237	539	4	24	-1	
3	1	79	1	0	0	1237	539	4	24	-1	
4	1	79	1	1	0	1237	539	4	24	-1	
5	1	79	1	1	1	1237	539	4	24	34.600456	su
2	1	80	0	0	0	1241	1094	4	24	-1	
3	1	80	1	0	0	1241	1094	4	24	-1	
4	1	80	1	1	0	1241	1094	4	24	-1	
5	1	80	1	1	1	1241	1094	4	24	24.428108	|_|
2	1	81	0	0	0	1239	976	5	29	-1	
3	1	81	1	0	0	1239	976	5	29	-1	
4	1	81	1	1	0	1239	976	5	29	-1	
5	1	81	1	1	1	1239	976	5	29	32.479607	sua
2	1	82	0	0	0	1242	571	3	13	-1	
3	1	82	1	0	0	1242	571	3	13	-1	
4	1	82	1	1	0	1242	571	3	13	-1	
5	1	82	1	1	1	1242	571	3	13	52.503807	mi
2	1	83	0	0	0	1259	1017	19	61	-1	
3	1	83	1	0	0	1259	1017	19	61	-1	
4	1	83	1	1	0	1259	1017	19	61	-1	
5	1	83	1	1	1	1259	1017	19	61	96.467239	245.6
2	1	84	0	0	0	1262	835	19	26	-1	
3	1	84	1	0	0	1262	835	19	26	-1	
4	1	84	1	1	0	1262	835	19	26	-1	
5	1	84	1	1	1	1262	835	19	26	96.842010	78
2	1	85	0	0	0	1249	555	35	76	-1	
3	1	85	1	0	0	1249	555	35	76	-1	
4	1	85	1	1	0	1249	555	35	76	-1	
5	1	85	1	1	1	1249	618	3	13	36.334286	~
5	1	85	1	1	2	1265	576	19	39	36.334286	348
5	1	85	1	1	3	1265	555	19	12	89.024521	9
2	1	86	0	0	0	1287	829	20	38	-1	
3	1	86	1	0	0	1287	829	20	38	-1	
4	1	86	1	1	0	1287	829	20	38	-1	
5	1	86	1	1	1	1287	829	20	38	96.928619	100
2	1	87	0	0	0	1236	249	79	190	-1	
3	1	87	1	0	0	1236	249	79	190	-1	
4	1	87	1	1	0	1236	249	79	190	-1	
5	1	87	1	1	1	1236	249	79	190	29.040611	aS
2	1	88	0	0	0	1324	821	19	55	-1	
3	1	88	1	0	0	1324	821	19	55	-1	
4	1	88	1	1	0	1324	821	19	55	-1	
5	1	88	1	1	1	1324	821	19	55	92.286568	F-2-1
2	1	89	0	0	0	1331	288	19	58	-1	
3	1	89	1	0	0	1331	288	19	58	-1	
4	1	89	1	1	0	1331	288	19	58	-1	
5	1	89	1	1	1	1331	288	19	58	92.431625	F-2-2
